Index	OTU	2D_ID	Channel_ID	Bottle_ID	Site_ID	Site_ID_1	Plate_ID	Position	Longitude	Latitude	Altitude	Altitude_1	Location	Setup_Site_Date	Distribution	Method	Tag	Collection_Date_formatted	Collection_Date_formatted_1	Year	Month	Collector	Image_File	Reverse_Complement_for_Papara	Sumaclust_97_OTU
996	GLGS8641-17|Staphylinidae|132944927||Arthropoda|Insecta|Coleoptera|Staphylinidae|||BOLD:ADI6614	132944927	140042	2.0040	14004	14004	JULY_COLE02	C11	98.80422	25.31137	1438	1400	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	04 Jul 2014	04 Jul 2014	2014	7	Zhiguang Yang			OTU_0821 
997	GLGS8717-17|Throscidae|132947093||Arthropoda|Insecta|Coleoptera|Throscidae|||BOLD:ADI7730	132947093	140042	2.0040	14004	14004	JULY_COLE03	E05	98.80422	25.31137	1438	1400	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	04 Jul 2014	04 Jul 2014	2014	7	Zhiguang Yang			OTU_0009 
998	TMS|2.0035|Juncole13-16.fas|	144568270	180012	2.0035	18001	18001	JUN_COLE13	B04	98.79670	25.29758	1823	1800	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	27 Jun 2014	27 Jun 2014	2014	6	Zhiguang Yang			OTU_0536 
999	Juncole16-52	133680373	140032	2.0033	14003	14003	JUN_COLE16	E04	98.80537	25.31363	1408	1400	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	27 Jun 2014	27 Jun 2014	2014	6	Zhiguang Yang			OTU_0568 
1000	TMS|2.0045|Julycole13-65.fas|	143522777	140032	2.0045	14003	14003	JULY_COLE13	F05	98.80537	25.31363	1408	1400	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	11 Jul 2014	11 Jul 2014	2014	7	Zhiguang Yang			OTU_0049 
1001	TMS|2.0032|Juncole08-48.fas|	144567977	140022	2.0032	14002	14002	JUN_COLE08	D12	98.79755	25.30981	1418	1400	Gaoligongshan Mountain,Baihualing	2014-5-16	NE	Malaise Trap	Didi	27 Jun 2014	27 Jun 2014	2014	6	Zhiguang Yang			OTU_0003 
1002	TMS|2.0028|JunCole01-33.fas|	144579985	140042	2.0028	14004	14004	JUN_COLE01	C09	98.80422	25.31137	1438	1400	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	20 Jun 2014	20 Jun 2014	2014	6	Zhiguang Yang	JUN_COLE167.jpg		OTU_0003 
1003	TMS|2.0022|Juncole15-22.fas|	144567724	140042	2.0022	14004	14004	JUN_COLE15	B10	98.80422	25.31137	1438	1400	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	13 Jun 2014	13 Jun 2014	2014	6	Zhiguang Yang			OTU_0001 
1004	TMS|2.0033|Juncole08-63.fas|	144568750	140032	2.0033	14003	14003	JUN_COLE08	F03	98.80537	25.31363	1408	1400	Gaoligongshan Mountain,Baihualing	2014-5-15	NE	Malaise Trap	Didi	27 Jun 2014	27 Jun 2014	2014	6	Zhiguang Yang			OTU_0001 
1005	GLGS8647-17|Chrysomelidae|132945349||Arthropoda|Insecta|Coleoptera|Chrysomelidae|||BOLD:ADI6890	132945349	140022	2.0038	14002	14002	JULY_COLE02	D07	98.79755	25.30981	1418	1400	Gaoligongshan Mountain,Baihualing	2014-5-16	NE	Malaise Trap	Didi	04 Jul 2014	04 Jul 2014	2014	7	Zhiguang Yang			OTU_0005 
